SNAil.ID,Infection.Status,fact,fact1,week,yolks
C-10,0,un,a,4,53
C-11,0,un,a,4,11
C-12,0,un,a,4,19
C-13,0,un,a,4,0
C-14,0,un,a,4,NA
C-15,0,un,a,4,236
C-16,0,un,a,4,95
C-17,0,un,a,4,65
C-18,0,un,a,4,117
C-19,0,un,a,4,10
C-20,0,un,a,4,36
C-21,0,un,a,4,94
C-22,0,un,a,4,41
C-23,0,un,a,4,28
C-24,0,un,a,4,NA
C-25,0,un,a,4,35
C-26,0,un,a,4,9
C-27,0,un,a,4,NA
C-28,0,un,a,4,74
C-29,0,un,a,4,2
C-30,0,un,a,4,18
C-31,0,un,a,4,14
C-32,0,un,a,4,NA
C-33,0,un,a,4,136
C-34,0,un,a,4,86
C-35,0,un,a,4,80
C-36,0,un,a,4,52
C-37,0,un,a,4,27
C-38,0,un,a,4,76
C-39,0,un,a,4,7
C-40,0,un,a,4,35
I-1,2,in,in,4,0
I-2,2,in,in,4,0
I-3,2,in,in,4,7
I-4,2,in,in,4,37
I-5,2,in,in,4,8
I-6,2,in,in,4,26
I-7,2,in,in,4,0
I-8,2,in,in,4,5
I-9,2,in,in,4,0
I-10,1,ex,ex,4,31
I-11,2,in,in,4,9
I-12,2,in,in,4,0
I-13,1,ex,ex,4,124
I-14,2,in,in,4,107
I-15,2,in,in,4,16
I-16,1,ex,ex,4,199
I-17,2,in,in,4,0
I-18,2,in,in,4,50
I-19,2,in,in,4,0
I-20,2,in,in,4,111
I-21,2,in,in,4,0
I-22,2,in,in,4,2
I-23,1,ex,ex,4,NA
I-24,2,in,in,4,0
I-25,2,in,in,4,0
I-26,1,ex,ex,4,11
I-27,2,in,in,4,10
I-28,2,in,in,4,17
I-29,1,ex,ex,4,39
I-30,2,in,in,4,6
I-31,2,in,in,4,18
I-32,2,in,in,4,8
I-33,2,in,in,4,0
I-34,2,in,in,4,0
I-35,2,in,in,4,29
I-36,2,in,in,4,30
I-37,2,in,in,4,55
I-38,1,ex,ex,4,135
I-39,2,in,in,4,0
I-40,2,in,in,4,16
I-41,2,in,in,4,41
I-42,2,in,in,4,0
I-43,1,ex,ex,4,NA
I-44,1,ex,ex,4,56
I-45,1,ex,ex,4,91
I-46,2,in,in,4,6
I-47,2,in,in,4,0
I-48,1,ex,ex,4,NA
I-49,1,ex,ex,4,36
I-50,1,ex,ex,4,93
C-1 ,0,un,a,5,8
C-2,0,un,a,5,0
C-3,0,un,a,5,4
C-4,0,un,a,5,38
C-5,0,un,a,5,65
C-6,0,un,a,5,0
C-7,0,un,a,5,NA
C-8,0,un,a,5,52
C-9,0,un,a,5,48
C-10,0,un,a,5,120
C-11,0,un,a,5,14
C-12,0,un,a,5,55
C-13,0,un,a,5,0
C-14,0,un,a,5,NA
C-15,0,un,a,5,181
C-16,0,un,a,5,120
C-17,0,un,a,5,29
C-18,0,un,a,5,69
C-19,0,un,a,5,80
C-20,0,un,a,5,29
C-21,0,un,a,5,228
C-22,0,un,a,5,16
C-23,0,un,a,5,95
C-24,0,un,a,5,NA
C-25,0,un,a,5,51
C-26,0,un,a,5,61
C-27,0,un,a,5,NA
C-28,0,un,a,5,92
C-29,0,un,a,5,0
C-30,0,un,a,5,60
C-31,0,un,a,5,122
C-32,0,un,a,5,NA
C-33,0,un,a,5,190
C-34,0,un,a,5,72
C-35,0,un,a,5,37
C-36,0,un,a,5,76
C-37,0,un,a,5,127
C-38,0,un,a,5,137
C-39,0,un,a,5,5
C-40,0,un,a,5,59
I-1,2,in,in,5,0
I-2,2,in,in,5,0
I-3,2,in,in,5,0
I-4,2,in,in,5,0
I-5,2,in,in,5,33
I-6,2,in,in,5,9
I-7,2,in,in,5,0
I-8,2,in,in,5,0
I-9,2,in,in,5,0
I-10,1,ex,ex,5,77
I-11,2,in,in,5,3
I-12,2,in,in,5,0
I-13,1,ex,ex,5,118
I-14,2,in,in,5,16
I-15,2,in,in,5,0
I-16,1,ex,ex,5,163
I-17,2,in,in,5,0
I-18,2,in,in,5,0
I-19,2,in,in,5,0
I-20,2,in,in,5,76
I-21,2,in,in,5,0
I-22,2,in,in,5,0
I-23,1,ex,ex,5,NA
I-24,2,in,in,5,0
I-25,2,in,in,5,0
I-26,1,ex,ex,5,0
I-27,2,in,in,5,0
I-28,2,in,in,5,19
I-29,1,ex,ex,5,43
I-30,2,in,in,5,0
I-31,2,in,in,5,0
I-32,2,in,in,5,0
I-33,2,in,in,5,0
I-34,2,in,in,5,0
I-35,2,in,in,5,0
I-36,2,in,in,5,8
I-37,2,in,in,5,0
I-38,1,ex,ex,5,120
I-39,2,in,in,5,0
I-40,2,in,in,5,8
I-41,2,in,in,5,9
I-42,2,in,in,5,0
I-43,1,ex,ex,5,NA
I-44,1,ex,ex,5,72
I-45,1,ex,ex,5,65
I-46,2,in,in,5,0
I-47,2,in,in,5,0
I-48,1,ex,ex,5,NA
I-49,1,ex,ex,5,29
I-50,1,ex,ex,5,103
